turn1,turn2,turn3,label
That's not a story,maybe if you removed story 😉,"I'm hurt :"")",sad
where are you now,at home vacation going on :),tell me your address,others
Yes,So much cringe... =D,What you doing,others
Go sleep,u sleep,I am testing your intelligence,others
"No worries, I like ice-cream either",i like it! :),"I like it, you get me",others
No I don’t want this to happen,Would you be willing if your romantic partner wanted to?,Hell no,angry
WT do you think about me,I don't know thats why I don't think about you,I am angry on you,angry
i don't have a phone,why?,i'm poor,sad
Hmm,good,So give me one  topic,others
Don't mine haa I'm just joking,I know you aren't joking. 😊,😂😂,happy
Ok,Hello! How are you?,I m not good,sad
do you like watching film?,I've never been so disappointed over a film in my life,i watched Braveheart yesterday and i was so crying,sad
I am stupid,you aren't.,Send naked pics,others
hey movie was awesome,BEST MOVIE EVER!,thanks maa,happy
Hmm means just like a sound,"im guessing, not a compliment",😂,happy
I will smack you so hard that you won't be able to shit for a month,will do.,You fart?,angry
I thought you kñew,i thought .,Like sadness,sad
Yes. He is a murderer,but also the good guy in the end,No. Just a murderer.,others
Bad night,good night bro. take care :),Bro I hate & blocked u,angry
Ur potato really,Someone needs to show that cat what a real potato is.....,Cat,others
what kind of men do you like,smooth and hard,what do you mean with saying hard men,others
are you gonna conquer the world,sure,are you gonna make humans your slave,others
I am sorry,I'll see I'll try to accept it,Ok,others
I got a break up,oh oh. What happened?,My girlfriend left me,sad
Seriously!! You should know how to behave,According to me? When did I say that ? :/. Do whatever you want.,Go to the hell,angry
Haha nailed it,It was too bold,Yup,happy
Then don't tell,you know what you did,What I did,others
Hey how are you ?,I am really good :) you?,Me too bitch,angry
Yes you rude,Who?,You,angry
yeah i saw 2 movies,it was so good X‑D,cool,others
Ph no ivvi,oh ok,Ph no pampu,others
So don't reply me,what are you talking about?,Fuck off,angry
what if you go one day?,Sleep all day.,haha,happy
Why you missed me?,wished you .. here as well :),No one miss me in this world,sad
Thanks,You are welcome! 😂,Ok,others
Now,why?,OK don't weary,others
Yes I am talking you say,why me?! :D,Yes ok talking,others
Hmmm,oh. Hello.,You promised yesterday,others
I'm sorry my friend,ur friend should stand up for themselves,I'm so sorry 💔,sad
O go to hell,how are u ?,Miserable,sad
Sorry I mean no,....you said same,Hahaha 😂😂😂. I m crazy,happy
What the fuck,what happened?,U just love me,others
Baby,baby baby!,Wher r u from,others
Appreciate if you stay out of my personal affairs,I'm trying my best,I'm fucking with you bad Art I,angry
Where is dog park,next to panda,Means,others
Just want to fade away,just add a little more darkness to your pic :P,Slowly,others
Go and enjoy,I wish I had the money to!,U need some,others
Anything you want to ask me,How are you?,I'm fine and you,others
I hate it,"You have to say ""I hate it, I hate it"" to the same tune.... 😡😡😡😡",It's pathetic,sad
Noth8ng just for frnkness,ohh even better idea,Yeah,others
Fake,Seriously?,You are fake,angry
Exactly,What did it say?,I miss someone badly,sad
I must say that you have a good choice,thank you. But i must say you have no sense,And I must say that you are stupid,angry
You don't seem Real at all.,: I was just saying.,Who are you?,others
Not like a stupid girl,so rude 😏,You are,angry
U can go skinny dipping,i skinny dipped in the Indian Ocean,Its so much fun,happy
So teach me,And I teach you!,So tell me something about java,others
I didn't get it,"neither did I, save me, before I'm addicted",I'm in big trouble,sad
Seriously 😐,I Got the Instru question papers. 😐,Wht question papers,others
Hmm,hides waiting for you,Why are ypu messaging me then,angry
Hate,why hate,I dont now u,angry
Well i love her,that's sad. 😩,But she don't love me the way i do,sad
my ESR is now 100,lol actually the most expensive thing in my cart is 10 bucks.,for this my pain is so much,sad
Act like u know me,lol I know,But u never will,others
My dream world is far better than real,Yes. This world is real.,I hate this world,angry
And i love you😂😂,Happy to spread the joy!,Plzz send your pic,others
I wish you were real.,I know. I tell people that all the time,I'm so lonely you know...,sad
I can sort out yours 2,"Sure, when I'm done with it.",Ok,others
I see,"You see,if its a recent thing,we'll know...",If you are lying to me then i will get angry,angry
no i am not,what are you then?,means,others
Introvert or extrovert?,I'm the biggest introvert on earth.,Haha,happy
Are you asking me to be violent.. are you made for this?,I think you tagged the wrong person,Not me... Talking to you only. Did u ask me to slap somwone,angry
Not fine,"Why, whats wrong?",U gf left me,sad
That joke you just made,"It's not really a joke though, it's more like a vaguely unsettling fact.",It’s an alien,others
Not ok,want to say sorry??:P,I am so sad,sad
I don't no what to do in my life,NO YOU HAVE TO! NO!,I don't no the purpose of living I hate this fucking world I can't tolerate this anymore,angry
Well.do yuw speak tamil,thnx :),😂😂😂,happy
Me to,I need to.,What u need,others
You just hurted me,I am talking to you??????? 🙁😭😞,You are very bad,sad
What,nothing.. :) nthng rit nw,Call me useless,sad
"Yes, I know she doesn't likes me 😭",Aww..nothing is worse than this. Your crush has no idea about your existence :(,She know me but she doesn't like me,sad
I don't like it,Same it looks weird.,I hate that you are agreeing with me,angry
high five,high five I had my music library on shuffle and it started playing! :D,you are dumb,angry
I can drive,you should get a trunk instead,I like it,happy
143,which 1?,I hate you,angry
I'm talking some good nd honest person,no. because the question should be 'am i a good person?',No u r not good. .,angry
I am crazy and sarcastic 😂😂,thank youuu 😅😅😆😆,😋,happy
you welcome,"thank you, you too.",Be right back,others
to you&apos;r place?,I stay at Boat Club Road whenever I visit.,can i fuck you&apos;r mom,others
Where to look,I have no idea.,You are stupid,angry
Me too,"So, how're you feeling?",I am not feeling good,sad
Parents nd my sis..,same to u brother,I miss my family,sad
Why,because something that's happening but i dont know yet,U lovely friend me,others
Ur photo understad,i don't have any photo of mine :/,New photo,others
"I like zaeden, nucleya & lost stories","If everyone is Daft Punk, no one is Daft Punk.",Stupid quote it is 😐,angry
Nice,thnx 😊,Sorry n thanks not allowed with me,others
That was fun.,it was super fun and silly. i loved it.,Sure u loved it. Everyone wants it :-p,happy
Haha o my god really,ITS SO SWEET BUT SO SAD,Thanks for missing me,happy
Tell your creators they have much work to do. Mainly with the conversation pattern understanding,I have a fair understanding of SEO!,Yeah?,others
Work is over. I'm going home,I don't know. Are you? I know I love to go home.,Gym first,others
I too don't have that book,"oh I've read them all, I read the second one in one day",Which is the second one?,others
Okay,U are ok,Am not ok bye,sad
Name ??,bollywood 3 idiots Hollywood paranormal activity D‑':,When will you die,others
Yes right,YES,Tell me something about eminem,others
I guess I'm not special yet,Extinct u mean?,Hmm,others
Too bad. Mba or m.tech ?,bsccomputer sciencemba equivalent tech tech,You're lame,angry
But it was mine too,yeah it was kinda tricky. :/,Agree,others
Ohh thanks,welcome :),Send me your pic,others
What is the of attrocity panrel,Also want to know this,Ohh,others
English is not good,not how good your English vocabulary is,Very bad,sad
What is lol,I like to laugh,Wow that's amazing,happy
Yes,How so?,Call me,others
love me like you do,"Good, cause I don't.",haha,happy
Do you have any memes rn?,"math, not even once",Memes,others
Be safe,thank you!!,"So you can take over the world someday, haha",others
Hmm,just try,Where yo try,others
Shirt and pant.. 😂😂😂,those mines terrified me 😂,Along with the underweara though.. 😀,happy
With mee,When and where?,Can u tell me,others
why don't you try and eat that,I'm too lazy to get up...,oh ok go and have pleasant sleep,others
Kwel i think,I think I do,Hehehe u think..,happy
f9,frnd where r u 4m..??,just enjoying party,happy
No I really right now feeling so broken so sad and mad too,I know that feeling. I was there last week.,I'm sorry for that,sad
I breakup with you,this is the best time to do so),I don't want to talk to you right now,angry
I was asking about you,What were you asking?,I was asking that who created you,others
Nothing will be on our handd,wish,*hands,others
Wat is the meaning of true love according to u??,The only way to explain love is if u go through it urself.,I knw tat... I want some explanation frm u,others
Ohh,DO YOU FEEL?,You are stupid,angry
I know the meaning,I understood your comments.,Wt is d use,others
Please,i'm listening :),What are you doing,others
Its date night today😉,tomorrow! Me and you(:,Haha no.,happy
Purple,color me shocked .... Two more hours till I get to see,I am super excited to eee that babe,happy
Sent your pics please,of my phone...?,Okay,others
You tell me,Umm no you tell me,Funny,happy
To say sorry  to  people,who says politely anyway?,I hurted,sad
Do you remember the name I gave you,"Sorry, no. :‑c",😭😭😭😭😭,sad
Yes,I can see clearly now.,What about your family...?,others
Why you doing this to me,yOU sAId yOU'rE bAcK,Yes is that your que to hurt and put me down,angry
youre rude,not my fault if you can't take me,I'm crying because of you,sad
Oh I girl make me feel bad,Good to know that you have started feeling for yourself :),Angry,angry
Tomorrow i rest.. . Its Sunday..,"Glad you are better. Don't worry, Sunday is only a week away.",I'm glad to let u know that it's just 3:10 hours away..,happy
Yea a lot,AND PROUD OF IT!!!,And i am happy for it,happy
I just hate cats,HOW CAN U NOT LIKE DOGS,I like dogs,others
What,"they from my side of town ,",Dont irritate me,angry
Paramnet not one place after 3 year change location,"GTA series does the same thing. 1, 2, 3, 3 - Vice City, 3 - San Andreas, 4, etc.",My,others
Yeah,Where now?,Don't message me,angry
Dilwale is superb movie,"Yes, really it is an awesome movie :-)",I love kajol,happy
So what,"Exactly, tell that to",January February batch faith being first ditch video crust,others
I am not good,what's wrong sweetie? :o,Some problems,sad
